gpa,english_proficiency,extracurriculars,applied_university_id,applied_major_category,admission_decision
3.37,10,0,9,បរិស្ថាន,1
3.58,2,1,21,ច្បាប់,1
2.19,3,1,32,វិទ្យាសាស្ត្រ,0
3.3,5,3,17,ធុរកិច្ច,1
3.17,6,5,1,ទេសចរណ៍,1
3.91,1,3,47,សិល្បៈ,1
2.76,9,2,44,បរិស្ថាន,1
2.99,10,2,45,បច្ចេកវិទ្យា,1
3.77,6,0,31,បុរាណវិទ្យា,0
3.34,10,5,41,សេដ្ឋកិច្ច,1
2.57,8,3,18,កសិកម្ម,1
4.0,4,1,41,សុខភាព,1
2.98,2,2,1,រដ្ឋបាល,1
3.16,3,3,33,សេដ្ឋកិច្ច,1
3.19,6,4,19,សុខភាព,1
3.25,5,1,35,ស្ថាបត្យកម្ម,1
4.0,2,5,24,ច្បាប់,1
3.52,9,2,3,បរិស្ថាន,1
2.9,5,2,31,អប់រំ,1
3.05,4,3,38,ច្បាប់,1
3.31,10,0,13,ជលផល,1
2.86,3,1,48,បច្ចេកវិទ្យា,1
3.75,10,2,45,កសិកម្ម,1
2.96,3,3,44,ព្រៃឈើ,0
3.15,2,5,15,វិទ្យាសាស្ត្រ,1
2.71,1,3,39,សុខភាព,0
3.03,1,5,44,កសិកម្ម,1
3.72,4,1,11,ធុរកិច្ច,1
2.94,2,5,37,សេដ្ឋកិច្ច,1
2.3,4,4,15,ធុរកិច្ច,0
3.6,2,3,30,ព្រៃឈើ,1
2.38,7,3,36,អប់រំ,0
3.55,6,2,39,ធុរកិច្ច,1
2.88,9,2,12,កសិកម្ម,1
2.93,1,2,34,សេដ្ឋកិច្ច,1
3.09,10,3,3,បច្ចេកវិទ្យា,1
2.8,1,4,29,ច្បាប់,1
3.36,6,4,5,សិល្បៈ,1
3.21,5,4,29,វេជ្ជសាស្ត្រ,1
2.99,6,5,29,ភាសា,1
2.82,7,4,39,សារព័ត៌មាន,1
2.87,3,4,15,ធុរកិច្ច,1
3.79,10,3,30,ច្បាប់,1
3.47,7,5,37,សារព័ត៌មាន,1
3.4,2,1,12,សុខភាព,1
3.15,5,1,28,ស្ថាបត្យកម្ម,0
3.39,1,4,13,ទំនាក់ទំនងអន្តរជាតិ,1
3.53,7,5,45,វិស្វកម្ម,1
3.76,1,1,22,បច្ចេកវិទ្យា,1
3.45,4,2,29,ជលផល,1
3.08,1,2,42,ទំនាក់ទំនងអន្តរជាតិ,1
3.54,8,4,31,វិស្វកម្ម,1
3.51,7,2,18,កសិកម្ម,1
2.84,7,5,25,ទំនាក់ទំនងអន្តរជាតិ,1
3.62,2,4,45,អប់រំ,1
3.1,4,0,21,វេជ្ជសាស្ត្រ,0
3.47,6,1,45,ស្ថាបត្យកម្ម,1
3.58,1,2,7,សារព័ត៌មាន,1
2.54,3,1,46,វិទ្យាសាស្ត្រ,0
3.47,1,3,47,អប់រំ,1
3.14,9,2,2,បរិស្ថាន,1
3.45,2,3,37,សុខភាព,1
3.42,8,2,11,វេជ្ជសាស្ត្រ,1
2.54,8,2,13,សុខភាព,1
3.11,8,5,24,ភាសា,1
2.66,6,1,36,បរិស្ថាន,0
3.78,7,1,20,សារព័ត៌មាន,1
2.78,2,2,32,ច្បាប់,1
3.51,7,4,29,បុរាណវិទ្យា,1
4.0,9,2,43,ភាសា,1
3.37,10,0,23,ច្បាប់,1
3.65,2,3,15,វិទ្យាសាស្ត្រ,1
3.44,10,2,40,វេជ្ជសាស្ត្រ,1
3.17,9,4,29,ស្ថាបត្យកម្ម,1
2.82,3,3,37,សុខភាព,1
2.67,1,3,47,វេជ្ជសាស្ត្រ,0
3.27,4,4,26,វិទ្យាសាស្ត្រ,1
3.61,7,2,15,សុខភាព,1
2.52,4,1,33,សេដ្ឋកិច្ច,1
4.0,1,3,12,វេជ្ជសាស្ត្រ,1
3.3,1,3,12,បរិស្ថាន,1
3.46,8,4,42,រដ្ឋបាល,1
4.0,9,2,18,វេជ្ជសាស្ត្រ,1
2.91,6,2,34,សារព័ត៌មាន,1
3.07,3,2,25,ភាសា,1
3.48,8,4,3,វិស្វកម្ម,1
3.18,1,5,23,ស្ថាបត្យកម្ម,1
2.72,10,1,31,វិទ្យាសាស្ត្រ,0
3.39,10,0,42,បរិស្ថាន,0
3.09,6,2,13,ទំនាក់ទំនងអន្តរជាតិ,1
3.53,7,2,31,អប់រំ,1
4.0,3,1,29,ច្បាប់,1
3.32,4,4,21,បុរាណវិទ្យា,1
3.24,1,4,21,វិស្វកម្ម,1
3.72,5,0,31,សេដ្ឋកិច្ច,0
2.45,7,0,42,ទេសចរណ៍,0
4.0,9,4,15,បច្ចេកវិទ្យា,1
3.7,1,4,43,សារព័ត៌មាន,1
3.59,6,1,26,វិស្វកម្ម,1
3.35,8,0,6,អប់រំ,1
3.22,10,4,46,បុរាណវិទ្យា,1
2.94,6,0,2,រដ្ឋបាល,1
3.15,8,4,31,ធុរកិច្ច,1
3.38,10,3,33,សិល្បៈ,1
2.98,7,3,8,កសិកម្ម,1
3.55,3,2,21,ព្រៃឈើ,1
3.13,7,3,24,ភាសា,1
3.41,4,0,16,ធុរកិច្ច,1
2.81,2,4,15,ជលផល,1
3.32,5,3,22,វេជ្ជសាស្ត្រ,1
3.0,8,3,10,វិស្វកម្ម,0
3.73,5,2,1,ជលផល,1
2.94,7,2,9,សិល្បៈ,0
2.82,1,5,11,ភាសា,1
3.12,2,5,32,ធុរកិច្ច,1
2.89,10,0,46,ច្បាប់,1
3.53,5,3,48,វិស្វកម្ម,1
3.68,3,4,41,សិល្បៈ,1
3.31,3,0,19,ស្ថាបត្យកម្ម,1
2.6,8,3,8,ស្ថាបត្យកម្ម,1
3.09,3,0,38,រដ្ឋបាល,1
2.91,5,5,33,សារព័ត៌មាន,1
3.24,8,0,25,វេជ្ជសាស្ត្រ,1
2.82,1,2,44,ជលផល,1
3.23,5,1,2,វិស្វកម្ម,1
3.29,10,5,47,ស្ថាបត្យកម្ម,1
2.8,5,3,26,ភាសា,0
3.11,5,2,2,សារព័ត៌មាន,1
3.45,6,0,38,ជលផល,1
3.13,8,4,28,សេដ្ឋកិច្ច,1
3.62,3,5,9,ច្បាប់,1
3.32,6,1,25,វិទ្យាសាស្ត្រ,1
3.77,5,2,15,ស្ថាបត្យកម្ម,1
3.39,7,0,30,កសិកម្ម,1
3.04,1,2,32,បរិស្ថាន,1
3.85,9,0,37,សេដ្ឋកិច្ច,1
3.25,5,5,46,សារព័ត៌មាន,1
3.56,2,0,18,បច្ចេកវិទ្យា,1
2.93,4,0,14,វេជ្ជសាស្ត្រ,0
2.18,5,3,3,ធុរកិច្ច,1
2.62,9,4,30,ស្ថាបត្យកម្ម,1
3.82,7,2,14,ជលផល,1
3.09,7,4,14,ច្បាប់,1
2.84,6,1,35,រដ្ឋបាល,1
3.34,6,4,20,ទំនាក់ទំនងអន្តរជាតិ,1
3.22,7,2,7,វេជ្ជសាស្ត្រ,1
2.73,8,3,20,ទេសចរណ៍,1
3.71,5,5,8,ទេសចរណ៍,1
3.58,4,0,17,វេជ្ជសាស្ត្រ,1
2.99,9,0,13,កសិកម្ម,1
3.46,2,4,46,សារព័ត៌មាន,1
4.0,3,0,6,បរិស្ថាន,1
3.12,6,1,17,អប់រំ,1
3.13,5,4,41,បុរាណវិទ្យា,1
2.49,10,2,37,ទំនាក់ទំនងអន្តរជាតិ,1
3.2,2,3,36,ភាសា,0
3.62,10,1,21,វិស្វកម្ម,1
3.98,9,3,12,ជលផល,1
3.6,9,2,35,រដ្ឋបាល,1
3.12,4,0,13,សិល្បៈ,1
3.69,2,3,47,សុខភាព,1
3.22,3,0,11,ទេសចរណ៍,1
3.06,8,0,33,អប់រំ,1
3.97,6,4,39,សេដ្ឋកិច្ច,1
2.98,8,5,16,សុខភាព,1
2.41,9,4,20,ទំនាក់ទំនងអន្តរជាតិ,0
2.67,8,3,34,ទេសចរណ៍,0
3.17,5,4,34,បច្ចេកវិទ្យា,1
3.84,2,0,43,សុខភាព,1
3.48,6,5,20,វិទ្យាសាស្ត្រ,1
2.41,2,4,18,វេជ្ជសាស្ត្រ,1
3.46,6,3,23,ទេសចរណ៍,1
2.54,7,4,41,ភាសា,1
3.87,10,0,6,វេជ្ជសាស្ត្រ,1
3.74,8,4,3,បច្ចេកវិទ្យា,1
3.93,4,5,38,បរិស្ថាន,1
3.59,5,5,7,វិទ្យាសាស្ត្រ,1
3.1,2,2,43,សុខភាព,1
2.41,4,0,19,បុរាណវិទ្យា,1
3.4,10,3,6,ទេសចរណ៍,1
3.01,8,0,45,ទេសចរណ៍,1
3.57,6,2,9,ស្ថាបត្យកម្ម,1
3.24,2,4,37,វិទ្យាសាស្ត្រ,1
3.4,8,3,13,សេដ្ឋកិច្ច,1
3.61,10,0,39,ភាសា,1
2.64,5,0,6,ព្រៃឈើ,0
3.33,7,4,7,ព្រៃឈើ,1
3.3,5,2,33,សុខភាព,0
3.43,10,0,4,បច្ចេកវិទ្យា,1
3.27,4,4,46,វេជ្ជសាស្ត្រ,1
2.72,4,1,1,រដ្ឋបាល,0
2.85,3,3,8,វិទ្យាសាស្ត្រ,1
3.58,2,4,27,ច្បាប់,1
3.56,9,4,27,ច្បាប់,1
3.26,7,1,36,រដ្ឋបាល,0
4.0,9,4,22,បច្ចេកវិទ្យា,1
3.82,10,1,38,ភាសា,1
3.13,5,4,43,ទេសចរណ៍,1
2.98,6,3,1,វិស្វកម្ម,1
2.63,7,2,21,ស្ថាបត្យកម្ម,1
3.22,5,0,43,ភាសា,1
3.47,5,0,37,បរិស្ថាន,1
3.28,7,3,40,ស្ថាបត្យកម្ម,0
3.2,5,2,2,បច្ចេកវិទ្យា,1
3.2,1,2,47,ភាសា,1
4.0,9,3,24,សារព័ត៌មាន,1
2.54,6,4,48,ទំនាក់ទំនងអន្តរជាតិ,1
3.56,9,5,31,សិល្បៈ,1
3.13,10,4,41,ព្រៃឈើ,1
3.49,4,1,26,សារព័ត៌មាន,1
2.79,3,3,12,បរិស្ថាន,1
2.93,4,0,19,សិល្បៈ,0
3.23,6,5,48,ទេសចរណ៍,1
3.8,9,4,44,សារព័ត៌មាន,1
2.76,7,4,48,បច្ចេកវិទ្យា,1
2.96,10,3,20,វិទ្យាសាស្ត្រ,1
2.8,5,1,21,កសិកម្ម,1
3.25,8,0,31,វិទ្យាសាស្ត្រ,1
3.29,7,4,32,អប់រំ,1
3.01,4,3,33,រដ្ឋបាល,0
3.61,6,1,25,ទំនាក់ទំនងអន្តរជាតិ,1
3.26,3,4,45,សេដ្ឋកិច្ច,1
3.42,10,3,47,វិស្វកម្ម,1
3.77,9,3,40,បរិស្ថាន,1
3.39,7,0,38,ជលផល,1
3.03,3,3,12,ទេសចរណ៍,1
2.84,7,5,41,សារព័ត៌មាន,1
2.89,3,0,15,បរិស្ថាន,1
2.85,4,3,9,សារព័ត៌មាន,1
3.2,1,1,45,ជលផល,1
3.34,1,2,18,ទំនាក់ទំនងអន្តរជាតិ,0
3.25,1,4,4,ភាសា,1
3.26,3,1,31,ភាសា,1
3.42,4,4,8,ច្បាប់,1
2.77,6,5,41,ទេសចរណ៍,1
3.32,6,2,10,បុរាណវិទ្យា,1
3.4,3,0,47,ព្រៃឈើ,1
3.12,2,2,20,សេដ្ឋកិច្ច,1
3.5,4,2,6,សិល្បៈ,1
3.45,10,2,37,វិទ្យាសាស្ត្រ,1
3.66,8,5,13,សុខភាព,1
3.64,5,1,4,ភាសា,1
3.29,10,3,22,ធុរកិច្ច,1
2.93,10,1,17,វិទ្យាសាស្ត្រ,1
3.4,7,0,16,ជលផល,1
3.32,10,2,24,ធុរកិច្ច,1
3.48,7,4,8,ស្ថាបត្យកម្ម,1
3.13,5,1,2,សេដ្ឋកិច្ច,0
2.63,4,5,6,ព្រៃឈើ,1
3.64,6,3,35,ទំនាក់ទំនងអន្តរជាតិ,1
3.13,10,3,13,បច្ចេកវិទ្យា,1
3.33,10,0,11,បរិស្ថាន,1
2.51,6,2,37,រដ្ឋបាល,1
3.22,1,4,29,ច្បាប់,1
2.88,8,5,11,ទេសចរណ៍,1
3.27,9,1,27,ទេសចរណ៍,1
2.73,5,4,10,បរិស្ថាន,1
3.34,6,0,44,ច្បាប់,1
3.15,2,1,31,ធុរកិច្ច,1
3.31,8,2,30,បច្ចេកវិទ្យា,1
3.9,3,5,29,ទេសចរណ៍,1
3.32,4,3,7,ជលផល,1
3.03,7,5,14,ស្ថាបត្យកម្ម,1
2.34,5,1,33,វិស្វកម្ម,0
2.99,3,4,33,អប់រំ,1
3.43,1,0,20,វេជ្ជសាស្ត្រ,1
2.86,6,0,6,សិល្បៈ,1
2.83,10,5,12,បច្ចេកវិទ្យា,1
2.85,3,0,1,បរិស្ថាន,1
3.47,8,5,12,ធុរកិច្ច,1
3.64,10,5,28,សេដ្ឋកិច្ច,1
3.04,9,2,6,សារព័ត៌មាន,1
3.29,5,5,24,វិស្វកម្ម,1
3.22,9,4,32,ស្ថាបត្យកម្ម,1
2.92,3,3,13,ជលផល,1
2.85,5,1,2,ទេសចរណ៍,1
2.75,10,5,15,វិស្វកម្ម,1
3.61,2,0,15,វិទ្យាសាស្ត្រ,0
2.85,8,2,46,បរិស្ថាន,1
3.39,7,0,41,សេដ្ឋកិច្ច,1
3.29,8,1,43,ស្ថាបត្យកម្ម,0
4.0,4,1,9,ទេសចរណ៍,1
3.56,4,3,1,កសិកម្ម,1
3.4,6,0,34,បច្ចេកវិទ្យា,1
3.43,9,5,8,ច្បាប់,1
3.83,4,3,12,ស្ថាបត្យកម្ម,1
2.46,10,3,33,សិល្បៈ,1
3.25,6,2,38,បុរាណវិទ្យា,1
3.49,5,5,27,ភាសា,1
2.99,4,0,46,ច្បាប់,1
3.81,8,0,1,សារព័ត៌មាន,1
3.37,7,5,47,សុខភាព,1
2.61,2,0,25,ព្រៃឈើ,1
2.73,3,3,1,បុរាណវិទ្យា,1
3.53,8,0,22,ច្បាប់,0
3.03,7,2,16,បុរាណវិទ្យា,1
3.53,1,2,29,បរិស្ថាន,1
3.56,3,1,29,ព្រៃឈើ,1
3.99,8,4,39,សុខភាព,1
3.04,8,1,45,ភាសា,1
3.57,4,1,32,សេដ្ឋកិច្ច,1
2.67,10,2,42,ភាសា,1
3.44,8,5,5,ជលផល,1
3.37,7,4,25,សារព័ត៌មាន,1
3.6,3,1,23,ជលផល,1
3.47,2,2,42,វិទ្យាសាស្ត្រ,0
3.57,6,0,45,សារព័ត៌មាន,0
3.5,10,3,26,ធុរកិច្ច,1
3.97,10,0,1,ព្រៃឈើ,1
3.68,7,3,14,ជលផល,1
2.99,2,3,19,អប់រំ,1
3.87,6,4,24,ច្បាប់,1
2.88,2,2,18,បរិស្ថាន,1
3.41,7,5,35,ភាសា,1
3.21,7,1,9,វេជ្ជសាស្ត្រ,1
2.78,1,5,19,សិល្បៈ,1
3.02,7,2,36,ស្ថាបត្យកម្ម,0
2.9,5,4,26,ធុរកិច្ច,1
2.4,9,5,44,ទំនាក់ទំនងអន្តរជាតិ,0
2.64,10,0,43,វេជ្ជសាស្ត្រ,1
3.6,6,5,22,ភាសា,1
3.5,7,0,23,បុរាណវិទ្យា,1
3.83,5,5,4,ព្រៃឈើ,1
3.73,1,5,28,ស្ថាបត្យកម្ម,0
3.7,2,2,15,ជលផល,1
3.65,8,4,8,ស្ថាបត្យកម្ម,1
3.09,8,1,29,កសិកម្ម,1
2.97,7,3,26,វេជ្ជសាស្ត្រ,1
3.12,7,3,17,រដ្ឋបាល,1
2.23,7,5,2,ធុរកិច្ច,0
3.12,7,1,14,វិស្វកម្ម,0
3.36,10,4,26,ជលផល,1
3.47,2,2,8,ទំនាក់ទំនងអន្តរជាតិ,1
2.6,4,2,33,ភាសា,1
3.38,4,4,10,សារព័ត៌មាន,1
3.18,5,3,21,ភាសា,1
3.39,7,3,12,វិទ្យាសាស្ត្រ,1
3.11,10,0,23,ច្បាប់,1
2.94,3,0,17,បច្ចេកវិទ្យា,0
2.87,10,2,31,កសិកម្ម,1
3.63,3,1,37,សារព័ត៌មាន,1
2.6,8,5,23,សេដ្ឋកិច្ច,1
3.73,10,2,2,ព្រៃឈើ,1
2.89,2,2,3,សិល្បៈ,1
2.83,7,2,13,សិល្បៈ,1
3.42,7,0,40,ទេសចរណ៍,1
2.69,2,0,3,សេដ្ឋកិច្ច,1
3.52,5,0,37,សេដ្ឋកិច្ច,1
3.6,1,2,28,ជលផល,0
3.37,3,5,17,បច្ចេកវិទ្យា,1
2.88,3,4,3,ទេសចរណ៍,1
2.95,2,2,15,បុរាណវិទ្យា,1
3.29,2,5,16,វេជ្ជសាស្ត្រ,1
3.29,7,4,36,បច្ចេកវិទ្យា,0
3.08,5,0,1,សារព័ត៌មាន,1
3.48,2,2,29,ស្ថាបត្យកម្ម,1
2.77,5,2,12,សុខភាព,1
2.53,1,4,4,សេដ្ឋកិច្ច,0
3.11,8,5,23,កសិកម្ម,1
2.87,2,0,24,វេជ្ជសាស្ត្រ,1
3.18,8,5,5,បច្ចេកវិទ្យា,1
3.31,9,3,43,កសិកម្ម,1
2.8,1,3,17,ទំនាក់ទំនងអន្តរជាតិ,1
3.56,4,0,45,សិល្បៈ,1
3.29,2,0,23,សារព័ត៌មាន,1
3.82,5,3,44,សិល្បៈ,1
3.19,2,5,38,កសិកម្ម,1
3.74,2,0,1,ទេសចរណ៍,1
3.22,10,2,45,បរិស្ថាន,1
2.87,5,5,5,បច្ចេកវិទ្យា,1
3.62,1,2,39,បរិស្ថាន,1
2.26,4,5,46,អប់រំ,0
3.41,6,4,23,ជលផល,1
3.0,2,2,35,ធុរកិច្ច,1
3.04,4,0,2,ទេសចរណ៍,1
2.43,10,1,45,សេដ្ឋកិច្ច,1
3.58,7,5,19,ច្បាប់,1
3.65,1,4,37,សិល្បៈ,1
2.79,10,5,13,ភាសា,1
2.74,8,4,1,ទំនាក់ទំនងអន្តរជាតិ,1
3.76,2,3,16,បច្ចេកវិទ្យា,1
3.13,10,2,34,ស្ថាបត្យកម្ម,1
3.37,2,5,25,ធុរកិច្ច,1
2.99,9,4,40,ច្បាប់,1
3.29,4,4,14,សារព័ត៌មាន,1
3.43,1,5,36,ជលផល,0
3.09,1,3,19,អប់រំ,1
2.82,9,4,2,ច្បាប់,1
3.05,10,2,17,វេជ្ជសាស្ត្រ,1
3.54,5,5,46,កសិកម្ម,1
3.06,8,2,2,អប់រំ,1
3.25,1,5,26,បរិស្ថាន,1
3.53,10,0,10,ទំនាក់ទំនងអន្តរជាតិ,1
3.61,7,0,17,សារព័ត៌មាន,1
3.45,7,1,24,វេជ្ជសាស្ត្រ,1
3.13,9,1,42,ស្ថាបត្យកម្ម,1
2.07,7,4,32,អប់រំ,1
3.12,1,4,47,សារព័ត៌មាន,1
3.43,2,5,1,កសិកម្ម,1
3.46,7,3,15,សេដ្ឋកិច្ច,1
3.11,5,5,31,សុខភាព,1
2.93,4,0,17,វិស្វកម្ម,0
3.54,4,3,14,សេដ្ឋកិច្ច,1
2.94,1,3,31,បរិស្ថាន,1
2.93,7,2,45,ព្រៃឈើ,1
2.54,5,4,6,កសិកម្ម,1
3.01,2,2,28,សារព័ត៌មាន,0
2.88,5,0,42,សុខភាព,1
3.35,7,1,11,កសិកម្ម,1
2.77,6,4,13,ទំនាក់ទំនងអន្តរជាតិ,1
3.32,5,4,42,ជលផល,1
2.91,3,4,22,វិស្វកម្ម,1
3.42,2,1,1,វិស្វកម្ម,1
3.62,1,0,16,វេជ្ជសាស្ត្រ,1
3.06,7,5,22,សារព័ត៌មាន,1
2.98,10,3,47,បច្ចេកវិទ្យា,0
2.51,9,3,46,បរិស្ថាន,1
3.21,1,3,27,ធុរកិច្ច,1
2.99,6,4,38,រដ្ឋបាល,1
3.25,9,3,18,ស្ថាបត្យកម្ម,1
2.61,2,2,19,ជលផល,1
2.92,6,1,35,ភាសា,1
2.98,3,3,11,វិស្វកម្ម,1
3.63,6,4,13,ជលផល,1
3.1,2,3,6,ភាសា,1
2.81,2,2,4,ទំនាក់ទំនងអន្តរជាតិ,0
3.21,2,0,24,ទេសចរណ៍,0
3.01,4,0,26,រដ្ឋបាល,0
3.93,7,2,44,សារព័ត៌មាន,1
3.63,9,0,19,កសិកម្ម,1
3.35,8,2,47,ភាសា,1
3.26,2,1,10,ច្បាប់,1
3.62,3,0,48,ស្ថាបត្យកម្ម,1
3.16,5,5,18,ច្បាប់,1
2.59,4,4,37,រដ្ឋបាល,0
3.23,4,3,45,ជលផល,1
3.29,6,5,19,ទំនាក់ទំនងអន្តរជាតិ,1
3.31,4,3,19,សិល្បៈ,1
4.0,6,3,5,សេដ្ឋកិច្ច,1
3.09,2,0,31,សេដ្ឋកិច្ច,1
2.79,6,3,20,អប់រំ,1
3.09,1,5,18,ស្ថាបត្យកម្ម,1
3.14,2,5,34,អប់រំ,1
3.06,10,2,25,ទំនាក់ទំនងអន្តរជាតិ,0
3.52,9,3,42,រដ្ឋបាល,1
2.88,2,0,15,កសិកម្ម,1
3.13,10,5,17,ទេសចរណ៍,1
3.41,3,2,1,បុរាណវិទ្យា,1
3.3,6,4,43,ជលផល,1
3.91,10,1,28,បរិស្ថាន,1
3.49,6,5,21,ច្បាប់,1
2.72,1,5,7,សិល្បៈ,1
2.74,7,3,21,វិទ្យាសាស្ត្រ,0
3.31,7,0,47,ស្ថាបត្យកម្ម,1
2.88,6,4,28,បុរាណវិទ្យា,0
3.1,7,4,45,ស្ថាបត្យកម្ម,1
3.12,3,3,6,ធុរកិច្ច,1
2.87,7,4,30,ទំនាក់ទំនងអន្តរជាតិ,1
3.06,5,2,37,សេដ្ឋកិច្ច,1
3.32,6,1,16,សុខភាព,1
4.0,7,0,30,បុរាណវិទ្យា,1
2.4,2,2,36,ស្ថាបត្យកម្ម,0
2.83,9,4,22,ព្រៃឈើ,1
2.36,8,0,20,សារព័ត៌មាន,0
3.35,6,5,8,សុខភាព,1
2.84,8,2,16,វិស្វកម្ម,1
2.52,10,0,20,វេជ្ជសាស្ត្រ,1
3.52,9,0,22,សុខភាព,1
3.35,1,1,21,ធុរកិច្ច,1
3.19,7,4,24,វិស្វកម្ម,1
2.47,9,0,5,ជលផល,1
3.42,4,3,33,អប់រំ,1
2.76,6,4,11,អប់រំ,1
3.01,10,5,28,កសិកម្ម,1
4.0,10,0,11,សុខភាព,1
3.75,9,3,24,អប់រំ,1
2.69,6,2,20,ច្បាប់,1
3.25,10,2,36,ច្បាប់,1
3.14,3,2,33,សុខភាព,1
2.46,5,4,43,សេដ្ឋកិច្ច,0
2.56,1,0,27,សិល្បៈ,1
2.39,6,5,48,វេជ្ជសាស្ត្រ,1
3.4,6,0,10,វិទ្យាសាស្ត្រ,1
4.0,5,4,36,ជលផល,0
3.3,3,4,21,ភាសា,1
3.41,2,5,42,រដ្ឋបាល,1
3.35,10,0,18,កសិកម្ម,1
3.53,2,0,43,សិល្បៈ,0
3.08,2,5,5,អប់រំ,1
2.85,5,3,35,សារព័ត៌មាន,1
3.17,7,2,47,បរិស្ថាន,1
2.44,7,1,39,ភាសា,1
2.66,5,2,33,វេជ្ជសាស្ត្រ,1
3.0,5,4,31,អប់រំ,1
3.41,3,2,34,បរិស្ថាន,1
3.51,5,5,22,ស្ថាបត្យកម្ម,1
2.96,5,5,10,ធុរកិច្ច,1
3.29,6,3,11,ស្ថាបត្យកម្ម,0
3.08,6,3,12,បុរាណវិទ្យា,1
3.36,10,2,29,ស្ថាបត្យកម្ម,1
3.94,4,4,35,បច្ចេកវិទ្យា,1
3.27,4,3,6,អប់រំ,1
3.34,10,1,14,ស្ថាបត្យកម្ម,0
2.97,4,0,1,សេដ្ឋកិច្ច,0
3.55,8,3,39,សេដ្ឋកិច្ច,1
3.33,5,0,13,សុខភាព,0
3.56,8,0,6,វិស្វកម្ម,1
2.82,1,0,31,កសិកម្ម,1
3.01,9,3,2,ជលផល,1
2.86,4,3,37,ទំនាក់ទំនងអន្តរជាតិ,1
2.71,6,4,25,វិស្វកម្ម,1
